"Page No.","Diary Page","Entity No.","Authority Name",Entity (Value),Entity Type,"Note 1 Descriptor","Note 2 Context","Note 3 Relationship to Mary",Related Quotes,quotes,Related Footnotes,footnotes,Notes / Questions,DIsambiguation URL 1,DIsambiguation URL 2,DIsambiguation URL 3,
8,[30 035],437,,Mt. Tom,location,landmark,visits,,,,,,,,,,
8,[30 035],438,Mr. _ Pearce,[Prof. Pearce],person,profesor,interacts with,,"In the afternoon we went up Mt. Tom with Profs. Pearce and Sioussat. 18 The view was indescribably beautiful. Then they rowed us on the river in the moonlight, and sang songs to us. To think that this has been going on all the years I have been away!!","In the afternoon we went up Mt. Tom with Profs. Pearce and Sioussat. 18 The view was indescribably beautiful. Then they rowed us on the river in the moonlight, and sang songs to us. To think that this has been going on all the years I have been away!!",,,,,,,
8,[30 035],439,St. George Leakin Sioussat,[Prof. Sioussat],person,profesor,interacts with,,,,"St. George Leakin Sioussat, assistant instructor in history at Smith College, 1899-1904.","St. George Leakin Sioussat, assistant instructor in history at Smith College, 1899-1904.",,,,,
8,[30 035],440,Connecticut River,the river,location,landmark,visits,,,,,,,,,,
8,[31 036],441,Smith College,Smith College,location,school,diary entry header,,,,,,,,,,
8,[31 036],442,,"Saturday, Oct. 31, 1903",date,,diary entry header,,,,,,,,,,
8,[31 036],443,Miss _ Jordan,Miss Jordan,person,,interacts with / dines with,,,,,,,,,,
8,[31 036],444,Miss _ Bourland,Miss Bourland,person,,interacts with / dines with,,"""A lovely sleepy place, with a quaint burial ground containing the bones of many who were “captivated by the salvages”, and of one “who married a salvage and became one”, returning home at last, it seems, to rest in a civilized grave."" p. 8","""A lovely sleepy place, with a quaint burial ground containing the bones of many who were “captivated by the salvages”, and of one “who married a salvage and became one”, returning home at last, it seems, to rest in a civilized grave."" p. 8",,,,,,,
8,[31 036],445,,Deerfield,location,city,visits,,,,,,,,,,
8,[31 036],446,,"[indiginous people not being ""civilized""]",sentiment,,,,"a quaint burial ground containing the bones of many who were “captivated by the salvages”, and of one ""who married a salvage and became one”, returning home at last, it seems, to rest in a civilized grave.","a quaint burial ground containing the bones of many who were “captivated by the salvages”, and of one ""who married a salvage and became one”, returning home at last, it seems, to rest in a civilized grave.",,,,,,,
8,[31 036],447,Senda Berenson,Senda,person,teacher,interacts with,family-extended,,,,,,,,,
8,[31 036],448,,Basket Ball game,event,cultural,experiences,,,,,,,,,,
8,[31 036],449,Senda Berenson,Senda,person,teacher,mentions,family-extended,,,,,,,,,
8,[31 036],450,"Elizabeth ""Bessie"" Berenson",Bessie,person,teacher,mentions,family-extended,,,,,,,,,
8,[31 036],451,Abe _,Abe,person,,mentions,family-extended,,,,,,,,,
8,[31 036],452,Mrs. _ Berenson,the Mother,person,,mentions,family-extended,,,,,,,,,
8,[31 036],453,Albert (Valvrojenski) Berenson,the Father,person,,mentions,family-extended,,,,,,,,,
8,[31 036],454,,"[""life-diminishing"" personalities of Berensons]",sentiment,,,,"She [Senda] is worried about Bessie and Bessie about her and both of them about Abe and all of them about the Mother and Father. I could not keep my spirits long with such life-diminishing people. The truth is Bernhard’s career has given them all a vision of life they cannot themselves attain; and the contrast makes them discontented. As life goes, they are really very well off.","She [Senda] is worried about Bessie and Bessie about her and both of them about Abe and all of them about the Mother and Father. I could not keep my spirits long with such life-diminishing people. The truth is Bernhard’s career has given them all a vision of life they cannot themselves attain; and the contrast makes them discontented. As life goes, they are really very well off.",,,,,,,
8,[31 036],455,Bernard Berenson,Bernhard,person,art historian,mentions,family-immediate,,,,,,,,,
8,[31 036],456,,[discontentment],sentiment,,observes,,The truth is Bernhard’s career has given them all a vision of life they cannot themselves attain; and the contrast makes them discontented,The truth is Bernhard’s career has given them all a vision of life they cannot themselves attain; and the contrast makes them discontented,,,,,,,
8,[31 036],457,,[middle-class lifestyle],sentiment,,observes,,"As life goes, they are really very well off.","As life goes, they are really very well off.",,,,,,,
8,[32 037],458,Miss _ Hubbard,Miss Hubbard,person,,interacts with / dines with,,,,,,,,,,
8,[32 037],459,Mr. _ Field,Mr. Field,person,,interacts with / dines with,,,,,,,,,,
8,[32 037],460,Mr. _ Cooper,Mr. Cooper,person,,interacts with / dines with,,,,,,,,,,
8,[32 037],461,Miss _ Hubbard,Miss Hubbard,person,,interacts with,,,,,,,,,,
8,[32 037],462,Senda Berenson,Senda,person,teacher,mentions,family-extended,,,,,,,,,
8,[32 037],463,,[sadness at lack of marriage],sentiment,,observes,,"Then Miss Hubbard stayed telling me how Senda would be so much happier married, and the usual tale of woe.","Then Miss Hubbard stayed telling me how Senda would be so much happier married, and the usual tale of woe.",,,,,,,
8,[32 037],464,,[judgement of Miss Hubbard],sentiment,,observes,,"She [Miss Hubbard] seemed a little ""queer"" to me.","She [Miss Hubbard] seemed a little ""queer"" to me.",,,,,,,
8,[32 037],465,Smith College,Smith College,location,school,diary entry header,,,,,,,,,,
8,[32 037],466,,"Sunday, Nov. 1, 1903",date,,diary entry header,,,,,,,,,,
8,[32 037],467,MIss _ Mitchell,Miss Mitchell,person,,interacts with,,,,,,,,,,
8,[32 037],468,,Morris House,location,"school, part of",dines at,,,,,,,https://www.smith.edu/reslife/houses_green_morris.php,,,
8,[32 037],469,Mr. _ Hinckley,The Hinckleys,person,,interacts with,,,,,,,,,,
8,[32 037],470,Mrs. _ Hinkley,The Hinckleys,person,,interacts with,,,,,,,,,,
8,[32 037],471,Laurenus Clark Seelye,President Seelye,person,public figure,interacts with,,,,,,,,,,
8,[32 037],472,Miss _ Hesse,Miss Hesse,person,,interacts with,,,,,,,,,,
8,[32 037],473,MIss _ Hoffat,Miss Hoffat,person,,interacts with,,,,,,,,,,
8,[32 037],474,Zanetti _,Zanetti,person,,mentions,,,,,,,,,,
8,[32 037],475,George Cable,Mr. Cable,person,artist-writer,interacts with,,,,,,,,,,
8,[32 037],476,,[Bernhard unimpressed with writer George Cable's intelligence],sentiment,,observes,,"Mr. Cable was there, but B.B. did not find him as intelligent as he hoped.","Mr. Cable was there, but B.B. did not find him as intelligent as he hoped.",,,,,,,
8,[32 037],477,Bernard Berenson,B.B.,person,art historian,interacts with,,,,,,,,,,
8,[33 038],478,Mr. _ Pearce,Mr. Pearce,person,professor,interacts with,,,,,,,,,,
8,[33 038],479,St. George Leakin Sioussat,Mr. Sioussat,person,professor,interacts with,,,,,,,,,,
8,[33 038],480,Miss _ Scott,Miss Scott,person,,interacts with,,,,,,,,,,
8,[33 038],481,,[contentment],sentiment,,observes,,"A Miss Scott called on me in the morning, the only contented woman I have seen in Northampton.","A Miss Scott called on me in the morning, the only contented woman I have seen in Northampton.",,,,,,,
8,[33 038],482,Gertrude Hitz Burton,Gertrude Burton,person,social reformer,mentions,friend,,,,,,https://itatti.harvard.edu/mary-berenson,,,
8,[33 038],483,Albert Einstein,Einstein,person,scholar,mentions,,,,,,,,,,
8,[33 038],484,,[insincere sympathy],sentiment,,,,"A Miss Scott called on me in the morning, the only contented woman I have seen in Northampton. She wanted to talk of Gertrude Burton, and to tell me how Einstein had plagiarized her work, wherein I gave her most “adequate” sympathy","A Miss Scott called on me in the morning, the only contented woman I have seen in Northampton. She wanted to talk of Gertrude Burton, and to tell me how Einstein had plagiarized her work, wherein I gave her most “adequate” sympathy",,,,,,,
8,[33 038],485,,New Haven House,location,accomodation,diary entry header,,"""The Berensons began to get on my nerves a little bit, and B. B. saw it and was as nice as possible."" p. 8","""The Berensons began to get on my nerves a little bit, and B. B. saw it and was as nice as possible."" p. 8",,,,,,,
8,[33 038],486,,New Haven,location,city,diary entry header,,,,,,,,,,
8,[33 038],487,,"Monday, Nov. 2, 1903",date,,diary entry header,,,,,,,,,,
8,[33 038],488,,The Berensons,organization / group,familty unit,interacted with,,,,,,,,,,
8,[33 038],489,,[irritation with Berensons],sentiment,,experiences,,The Berensons began to get on my nerves a little bit,The Berensons began to get on my nerves a little bit,,,,,,,
8,[33 038],490,,[marital solidarity],sentiment,,experiences,,B.B. saw it and was as nice as possible,B.B. saw it and was as nice as possible,,,,,,,
8,[33 038],491,,Jarves Collection,visual art,art collection,experienced,,,,,,,https://archive.org/details/gri_33125006446203,,,
8,[33 038],492,,Pisa,location,city,mentions,,,,,,,,,,
8,[33 038],493,,Arezzo,location,city,mentions,,,,,,,,,,
8,[33 038],494,John Ferguson Wier,Wier,person,professor,interacts with,,,,"John Ferguson Weir (1841–1926), the first dean of the School of Fine Arts at Yale","John Ferguson Weir (1841–1926), the first dean of the School of Fine Arts at Yale",,,,,
8,[33 038],495,John Henry Niemeyer,Niemeyer,person,professor,interacts with,,,,John Henry Niemeyer (1839-1932) taught drawing at Yale University for over 30 years,John Henry Niemeyer (1839-1932) taught drawing at Yale University for over 30 years,,,,,
8,[34 039],496,Ellen Hale,Ellen Hale,person,artist-painter,interacts with / dines with,,,,,,,,,,
8,[34 039],497,Miss _ Jackson,Miss Jackson,person,,interacts with / dines with,,,,,,,,,,
8,[34 039],498,,the Whitneys,organization / group,familty unit,interacts with / dines with,,,,,,,,,,
8,[34 039],499,Beatrice Chamberlain,Beatrice Chamberlain,person,,mentions,,,,,,,,,,
8,[34 039],500,Mr. _ Whitney,Prof. Whitney,person,professor,mentions,,of Sanskrit fame,of Sanskrit fame,,,,,,,
8,[34 039],501,Mrs. _ Whitney,[Mrs. _Whitney],person,,mentions,,,,,,,,,,
8,[34 039],502,,[being cultured],sentiment,,,,"his wife of three dauthers live on in the pleasant, old-fashioned house, and are cultured and agreeable","his wife of three dauthers live on in the pleasant, old-fashioned house, and are cultured and agreeable",,,,,,,
8,[34 039],503,Ellen Hale,Ellen Hale,person,artist-painter,interacts with / dines with,,,,,,,,,,
9,[34 039],504,Evelyn Hunter Nordhoff,Evelyn,person,,mentions,friend,whom I believe we both love just as much today as we ever did. She is one of those whose memory cannot die.,whom I believe we both love just as much today as we ever did. She is one of those whose memory cannot die.,Evelyn Hunter Nordhoff,Evelyn Hunter Nordhoff,,,,,
9,[34 039],505,Helen Fry,Helen Fry,person,,mentions,,,,,,,,,,
9,[34 039],506,Roger Fry,Roger,person,,mentions,,,,,,,,,,
9,[34 039],507,,[Victorian ailments],sentiment,,observes,,"She has the persecution mania, and thinks that even he is persecuting her.","She has the persecution mania, and thinks that even he is persecuting her.",,,,,,,
9,[35 040],508,,New Haven House,location,accomodation,diary entry header,,,,,,,,,,
9,[35 040],509,,New Haven,location,city,diary entry header,,,,,,,,,,
9,[35 040],510,,"Tuesday, Nov. 3, 1903",date,,diary entry header,,,,,,,,,,
9,[35 040],511,Yale University Art Gallery,the gallery,location,cultural heritage institution,visits,,,,,,,https://artgallery.yale.edu/collections/objects/324,,,
9,[35 040],512,Gentile da Fabriano,Gentile de Fabriano,person,artist-painter,mentions,,,,,,,,,,
9,[35 040],513,Virgin and Child,Madonna,visual art,painting,experiences,,,,,,,https://artgallery.yale.edu/collections/objects/327,,,
9,[35 040],514,Neroccio de’ Landi,Neroccio,person,artist-painter,mentions,,,,,,,,,,
9,[35 040],515,The Annunciation,Annunciation,visual art,painting,experiences,,,,,,,https://artgallery.yale.edu/collections/objects/324,,,
9,[35 040],516,Antonio del Pollaiuolo,Pollajuolo,person,artist-painter,mentions,,,,,,,,,,
9,[35 040],517,Hercules and Deianira,Hercules and Deianin,visual art,painting,experiences,,,,,,,https://artgallery.yale.edu/collections/objects/300,,,
9,[35 040],518,Pietro Lorenzetti,P. Lorenzetti,person,artist-painter,mentions,,,,,,,,,,
9,[35 040],519,,Assunta,visual art,painting,experiences,,,,,,,https://artgallery.yale.edu/collections/objects/263,,,
9,[35 040],520,Sassetta,Sassetta,person,artist-painter,mentions,,,,,,,,,,
9,[35 040],521,,Temptations of Antony,visual art,painting,experiences,,,,,,,,,,
9,[35 040],522,Simone Martini,Simone Martini,person,artist-painter,mentions,,,,,,,,,,
9,[35 040],523,,St. Martin,visual art,painting,experiences,,,,,,,,,,
9,[35 040],524,Benvenuto di Giovanni di Meo del Guasta,Benvenuto <di Giovanni>,person,artist-painter,mentions,,,,,,,,,,
9,[35 040],525,Virgin and Child,Madonna [#2],visual art,painting,experiences,,,,,,,https://artgallery.yale.edu/collections/objects/136681,,,
9,[35 040],526,Benvenuto di Giovanni di Meo del Guasta,Benvenuto <di Giovanni>,person,artist-painter,mentions,,,,,,,,,,
9,[35 040],527,Love Bound by Maidens,Love Bound <by Maidens>,visual art,painting,experiences,,,,,,,https://artgallery.yale.edu/collections/objects/326,,,
9,[35 040],528,Girolamo da Cremona,Girolamo da Cremona,person,artist-painter,mentions,,,,,,,,,,
9,[35 040],529,,Nativity,visual art,painting,experiences,,,,,,,,,,
9,[35 040],530,Domenico Ghirlandaio,Ghirlandajo,person,artist-painter,mentions,,,,,,,,,,
9,[35 040],531,,Woman's Head,visual art,painting,experiences,,,,,,,,,,
9,[35 040],532,Sano di Pietro,Sano,person,artist-painter,mentions,,,,,,,,,,
9,[35 040],533,The Adoration of the Magi,Adoration of the Magi,visual art,painting,experiences,,,,,,,https://artgallery.yale.edu/collections/objects/322,,,
9,[35 040],534,Sano di Pietro,Sano,person,artist-painter,mentions,,,,,,,,,,
9,[35 040],535,The Coronation of the Virgin,Coronation <of the Virgin>,visual art,painting,experiences,,,,,,,https://artgallery.yale.edu/collections/objects/321,,,
9,[35 040],536,Giovanni di Paolo,Giovanni di Paolo,person,artist-painter,mentions,,,,,,,,,,
9,[35 040],537,Ellen Hale,Miss Hale,person,artist-painter,interacts with / dines with,,,,,,,,,,
9,[35 040],538,Mr. _ Jackson,Mr. Jackson,person,,interacts with / dines with,,,,,,,,,,
9,[35 040],539,,Country Club,location,club,dines at,,,,,,,,,,
9,[36 041],540,Hotel Somerset,Hotel Somerset,location,accomodation,diary entry header,,,,,,,,,,
9,[36 041],541,,Boston,location,city,diary entry header,,,,,,,,,,
9,[36 041],542,,"Wednesday, Nov. 4, 1903",date,,diary entry header,,,,,,,,,,
9,[36 041],543,Bernard Berenson,Bernhard,person,art historian,mentions,family-immediate,,,,,,,,,
9,[36 041],544,,New York,location,city,mentions,,,,,,,,,,
9,[36 041],545,Hutchins Hapgood,Hutchins Hapgood,person,artist-writer,mentions,,,,,,,https://en.wikipedia.org/wiki/Hutchins_Hapgood,,,
9,[36 041],546,Neith Boyce,Neith,person,artist-writer,mentions,,,,"Neith Boyce, novelist and playwright, a founder of the Provincetown Players","Neith Boyce, novelist and playwright, a founder of the Provincetown Players",wife of Hutchins Hapgood,https://en.wikipedia.org/wiki/Neith_Boyce,,,
9,[36 041],547,Henry Harrison Boyce,Neith's father,person,,mentions,,,,,,,,,,
9,[36 041],548,Hutchins Hapgood,Hutch,person,artist-writer,mentions,,,,,,,,,,
9,[36 041],549,Finley Peter Dunne,Peter Dunne,person,artist-writer,mentions,,,,,,,https://books.google.com/books?id=xtK0khSrSqUC&pg=PR4&lpg=PR4&dq=%22peter+dunne%22+%2B+%22hutchins+hapgood%22&source=bl&ots=6N9A8fyIWe&sig=q0bMnvonTJPbAKMT5hA352zFvYI&hl=en&sa=X&ved=0ahUKEwjZ9p2JvZ_bAhUBrVkKHbCACu4Q6AEILzAB#v=onepage&q=%22peter%20dunne%22%20%2B%20%22hutchins%20hapgood%22&f=false,,,
9,[36 041],550,Autobiography of a Thief,Autobiography of a Thief,literature,book,mentions,,,,,,,,,,
9,[36 041],551,The Forerunner,The Forerunner,literature,book,mentions,,,,,,,,,,
9,[36 041],552,,New York,location,city,mentions,,,,,,,,,,
9,[36 041],553,Bernard Berenson,Bernhard,person,art historian,mentions,family-immediate,,,,,,,,,
9,[36 041],554,Theodore Montgomery Davis,Davis,person,art collector,interacts with / dines with,,,,,,,,,,
9,[36 041],555,Mr. Cannon,Mr. Cannon,person,,interacts with,,,,,,,,,,
9,[36 041],556,Chase Bank,Chase Bank,location,business,visits,,,,,,,,,,
9,[36 041],557,Mr. _ Cannon,Mr. Cannon,person,,mentions,,,,,,,,,,
9,[36 041],558,,[financial hardship],sentiment,,,,It is a miserable time for money,It is a miserable time for money,,,,,,,
9,[36 041],559,Bernard Berenson,Bernhard,person,art historian,mentions,family-immediate,,,,,,,,,
9,[37 042],560,,Jarves Collection,location,"school, part of",visits,,,,,,,,,,
9,[37 042],561,,[effect of authoritative attributions],sentiment,,,,"the Jarves Collection, into which various natives were coming attracted, for the first time in their lives, by the sensation of having all the attributions authoritatively contradicted.","the Jarves Collection, into which various natives were coming attracted, for the first time in their lives, by the sensation of having all the attributions authoritatively contradicted.",,,,,,,
9,[37 042],562,John Henry Niemeyer,Prof. Niemeyer,person,professor,interacts with,,,,,,,,,,
9,[37 042],563,,"the ""Botticelli""",visual art,painting,experiences,,,,,,,,,,
9,[37 042],564,Sandro Botticelli,Botticelli,person,artist-painter,mentions,,,,,,,,,,
9,[37 042],565,,The Birth of Venus,visual art,painting,mentions,,,,,,,,,,
9,[37 042],566,Sandro Botticelli,[Botticelli],person,artist-painter,mentions,,,,,,,,,,
9,[37 042],567,,[mansplaining],sentiment,,experiences,,"Prof. Niemeyer came and gave me a long lecture, telling me that the “Botticelli” (an indifferent school piece) was the finest in existence, except possibly the Birth of Venus. He said he had copied it, so he knew far more about it than a person (like me!) who only looked at it could possibly know. There was no answer and i made none. His pretentiousness amused and horrified me, for no matter what out-of-the -way name I mentioned, he made as if he knew all about it — and of course he couldn’t possibly. Idiot.","Prof. Niemeyer came and gave me a long lecture, telling me that the “Botticelli” (an indifferent school piece) was the finest in existence, except possibly the Birth of Venus. He said he had copied it, so he knew far more about it than a person (like me!) who only looked at it could possibly know. There was no answer and i made none. His pretentiousness amused and horrified me, for no matter what out-of-the -way name I mentioned, he made as if he knew all about it — and of course he couldn’t possibly. Idiot.",,,,,,,
9,[37 042],568,Mr. _ Randall,Mr. Randall,person,artist-photographer,interacts with,,,,,,,,,,
9,[37 042],569,,New Haven,location,city,mentions,,,,,,,,,,
9,[37 042],570,,Hartford,location,city,mentions,,,,,,,,,,
10,[38 043],571,John Ferguson Wier,Prof. Wier,person,professor,mentions,,,,,,,,,,
10,[38 043],572,,[womens life],sentiment,,observes,,"Prof. Wier, the head of the Yale Art School, who evidently shies at the idea of a woman giving a lecture!","Prof. Wier, the head of the Yale Art School, who evidently shies at the idea of a woman giving a lecture!",,,,,,,
10,[38 043],573,Mrs. _ Randall,Mr. Randall's wife,person,scholar,mentions,,,,,,,,,,
10,[38 043],574,Yale University,Yale,location,school,mentions,,,,,,,,,,
10,[38 043],575,The Origins of Spenser's Mythology,"""The Origins of Spenser's Mythology""",non-fiction,thesis,mentions,,,,,,,,,,
10,[38 043],576,Judge _ Bronson,Judge Bronson,person,public figure,interacts with,,,,,,,,,,
10,[38 043],577,,a Luini,visual art,painting,experiences,,,,,,,,,,
10,[38 043],578,Bernardino Luini,Luini,person,artists-painter,mentions,,,,,,,,,,
10,[38 043],579,,a copy of a Titian,visual art,painting,experiences,,,,,,,,,,
10,[38 043],580,Titian,Titian,person,artists-painter,mentions,,,,,,,,,,
10,[38 043],581,Mrs. _ Bronson,Mrs. Judge,person,,mentions,,,,,,,,,,
10,[38 043],582,,[marital solidarity],sentiment,,observes,,"He patted Mrs. Judge on the back, and seemed like a brother to everyone he spoke to.","He patted Mrs. Judge on the back, and seemed like a brother to everyone he spoke to.",,,,,,,
10,[38 043],583,Ellen Hale,Ellen Hale,person,artist-painter,interacts with,,,,,,,,,,
10,[38 043],584,Mr. _ Jackson,Mr. Jackson,person,,interacts with / dines with,,,,,,,,,,
10,[38 043],585,,"""the Knickerbocker Express""",misc,transportation vessel name,experiences,,,,,,,,,,misc
10,[38 043],586,,[race],sentiment,,observes,,"consisting of Pullman cars and endless darkey
porters.",consisting of Pullman cars and endless darkeyporters.,,,,,,,
10,[38 043],587,,[disapproval of accomodations],sentiment,,,,"Our rooms here, for which we pay $45.00 a week, and which we took for the quiet, are so hideously noisy that we shall certainly have to move.","Our rooms here, for which we pay $45.00 a week, and which we took for the quiet, are so hideously noisy that we shall certainly have to move.",,,,,,,
10,[38 043],588,,Lady Lou,person,public figure,mentions,,,,,,,http://muse.jhu.edu/article/564970/pdf,,,
10,[39 044],589,Bertrand Russell,Bertie,person,artist-writer,mentions,,,,,,,https://en.wikipedia.org/wiki/Bertrand_Russell,,,
10,[39 044],590,The Principles of Mathematics,Bertie's book,literature,book,mentions,,,,,,,https://en.wikipedia.org/wiki/The_Principles_of_Mathematics,,,
10,[39 044],591,,The Spectator,literature,magazine,mentions,,,,,,,https://en.wikipedia.org/wiki/The_Spectator,,,
10,[39 044],592,,[religion],theme,,mentions,,She is convinced that he had either found out or is on the point of finding out the connection between Pure Religion and Pure Reason,She is convinced that he had either found out or is on the point of finding out the connection between Pure Religion and Pure Reason,,,,,,,
10,[39 044],593,,[reason],theme,,mentions,,She is convinced that he had either found out or is on the point of finding out the connection between Pure Religion and Pure Reason,She is convinced that he had either found out or is on the point of finding out the connection between Pure Religion and Pure Reason,,,,,,,
10,[39 044],594,,Select Circle of Thinkers,organization / group,misc,mentions,,,,,,,,,,misc
10,[39 044],595,,[orthodoxy],sentiment,,mentions,,"She wants him to give a lecture on his ideas to a Select Cirlcle of Thinkers, who cannot accept Orthodoxy, but who, longing for Religion, might, she thinks, be brought to it by the Road of Syllogisms.","She wants him to give a lecture on his ideas to a Select Cirlcle of Thinkers, who cannot accept Orthodoxy, but who, longing for Religion, might, she thinks, be brought to it by the Road of Syllogisms.",,,,,,,
10,[39 044],596,,[syllogism],sentiment,,mentions,,"She wants him to give a lecture on his ideas to a Select Cirlcle of Thinkers, who cannot accept Orthodoxy, but who, longing for Religion, might, she thinks, be brought to it by the Road of Syllogisms.","She wants him to give a lecture on his ideas to a Select Cirlcle of Thinkers, who cannot accept Orthodoxy, but who, longing for Religion, might, she thinks, be brought to it by the Road of Syllogisms.",,,,,,,
10,[39 044],597,Bertrand Russell,Mr. Russell,person,artist-writer,mentions,,"She is firmly convinced that “Mr. Russell is the Apostle of the Future”, and that he has a tremendous Responsibility towards his Age.","She is firmly convinced that “Mr. Russell is the Apostle of the Future”, and that he has a tremendous Responsibility towards his Age.",,,,,,,
10,[39 044],598,Logan Pearsall Smith,Logan,person,artist-writer,mentions,family-immediate,,,,,,,,,
10,[39 044],599,Bertrand Russell,Bertie,person,artist-writer,mentions,family-immediate,,,,,,,,,
10,[39 044],600,,Select Circle of Thinkers,organization / group,misc,mentions,,,,,,,,,,misc
10,[39 044],601,The Principles of Mathematics,Bertie's book,literature,book,mentions,family-immediate,,,,,,https://en.wikipedia.org/wiki/The_Principles_of_Mathematics,,,
10,[39 044],602,Bertrand Russell,Bertie,person,artist-writer,mentions,family-immediate,,,,,,,,,
10,[40 045],603,,[syllogism],sentiment,,mentions,,"She wants him to give a lecture on his ideas to a Select Cirlcle of Thinkers, who cannot accept Orthodoxy, but who, longing for Religion, might, she thinks, be brought to it by the Road of Syllogisms.","She wants him to give a lecture on his ideas to a Select Cirlcle of Thinkers, who cannot accept Orthodoxy, but who, longing for Religion, might, she thinks, be brought to it by the Road of Syllogisms.",,,,,,,
10,[40 045],604,,[deification of Bertrand Russell],sentiment,,mentions,,"If he would only pretend to do a miracle or two, I am sure those good ladies would regard him as a new divine incarnation. The ‘select circle of Thinkers’ digging religious truth out of Bertie’s book by means of syllogisms make s picture that enriches the imagination; if Bertie would appear in their midst and say [40 045] ‘Syllogism’ in a hieratic voice. I am sure that the whole Mystery of the Universe would be explained to them!”","If he would only pretend to do a miracle or two, I am sure those good ladies would regard him as a new divine incarnation. The ‘select circle of Thinkers’ digging religious truth out of Bertie’s book by means of syllogisms make s picture that enriches the imagination; if Bertie would appear in their midst and say [40 045] ‘Syllogism’ in a hieratic voice. I am sure that the whole Mystery of the Universe would be explained to them!”",,,,,,,
10,[40 045],605,Hotel Somerset,Hotel Somerset,location,accomodation,diary entry header,,,,,,,,,,
10,[40 045],606,,Boston,location,city,diary entry header,,,,,,,,,,
10,[40 045],607,,"Thursday, Nov. 5, 1903",date,,diary entry header,,,,,,,,,,
10,[40 045],608,,[disapproval of accomodations],sentiment,,experiences,,"Our rooms were terribly noisy with the railroad, so we changed over into another apartment, which is alas even dearer, costing $56.00 a week.","Our rooms were terribly noisy with the railroad, so we changed over into another apartment, which is alas even dearer, costing $56.00 a week.",,,,,,,
10,[40 045],609,,Commonwealth Avenue,location,street,in proximity of,,,,,,,,,,
10,[40 045],610,Bernard Berenson,B.B.,person,art historian,interacts with,family-immediate,,,,,,,,,
10,[40 045],611,Mrs. _ Taylor,Mrs. Taylor,person,,interacts with,,,,,,,,,,
10,[40 045],612,,Bay State Road,location,street,visits,,,,,,,,,,
10,[40 045],613,_ Wren,Wren,person,,mentions,,,,,,,,,,
10,[40 045],614,,Chichester,location,city,mentions,,,,,,,,,,
10,[41 046],615,Mrs. _ Taylor,Mrs. Taylor,person,,mentions,,,,,,,,,,
10,[41 046],616,Isabella Stewart Gardner,Mrs. Gardner,person,art collector,interacts with,,,,,,,,,,
10,[41 046],617,,Green Hill,location,,visits,,,,,,,,,,
10,[41 046],618,,[customs duties],misc,tariff,mentions,,,,,,,,,,misc
10,[41 046],619,Federal Government of the United States,the Government,organization / group,political,mentions,,,,,,,,,,
10,[41 046],620,Isabella Stewart Gardner Museum,her Museum,location,cultural heritage institution,mentions,,,,,,,,,,
10,[41 046],621,,[irritation with ISB],sentiment,,,,"She has of course behaved in a ridiculous and irritating way over the whole affair, and set everyone against her. She is evidently in need of Jack’s guiding hand. Still, it is very hard, and it enraged me beyond words.","She has of course behaved in a ridiculous and irritating way over the whole affair, and set everyone against her. She is evidently in need of Jack’s guiding hand. Still, it is very hard, and it enraged me beyond words.",,,,,,,
10,[41 046],622,,[criticism of financial decisions},sentiment,,,,"Of course by selling a fe jewels she could meet the emergency — her ruby, for example, is worth half a million. But she prefers, it seems, to sell stock at a ruinous loss.","Of course by selling a fe jewels she could meet the emergency — her ruby, for example, is worth half a million. But she prefers, it seems, to sell stock at a ruinous loss.",,,,,,,
10,[41 046],623,Bernard Berenson,B.B.,person,art historian,mentions,family-immediate,,,,,,,,,
10,[42 047],624,,[characterisation of ISG as difficult],sentiment,,,,"She was caressing and affectionate and charming, even more than usual. She has dismissed all her servants but two — evidently she is extremely difficile, without her husband to restrain her.","She was caressing and affectionate and charming, even more than usual. She has dismissed all her servants but two — evidently she is extremely difficile, without her husband to restrain her.",,,,,,,
10,[42 047],625,Matthew Stewart Pritchard,Matthew Pritchard,person,art historian,interacts with / dines with,,"He used to be with Ned Warren, but they had some sort of a quarrel. Now he is secretary to the Director of the Museum.","He used to be with Ned Warren, but they had some sort of a quarrel. Now he is secretary to the Director of the Museum.",,,,https://www.doaks.org/resources/bliss-tyler-correspondence/annotations/matthew-prichard,,,
10,[42 047],626,Edward Perry Warren,Ned Warren,person,art collector,mentions,,,,,,,https://en.wikipedia.org/wiki/Edward_Perry_Warren,,,
10,[42 047],627,Edward Robinson,Director of the Museum,person,public figure,mentions,,"Now he is secretary to the Director of the Museum - upon whom, by the way, we called in the morning.","Now he is secretary to the Director of the Museum - upon whom, by the way, we called in the morning.",,,beginning in 1902 was director of the museum for three years.,https://en.wikipedia.org/wiki/Edward_Robinson_(curator),,,
10,[42 047],628,Theodore Montgomery Davis,Davis,person,art collector,mentions,,,,,,,,,,
10,[42 047],629,"Museum of Fine Arts, Boston",the Museum,location,cultural heritage institution,mentions,,,,,,,,,,
10,[42 047],630,The Donna Laura Minghetti Leonardo,The famous forgery,visual art,painting,mentions,,,,,,"Considered to be a forgery at the time. Later x-ray found that there was no under-drawing. Per The Emma B. Andrews Diary Project, this painting was started by Leonardo, but completed by his students.",https://s3.amazonaws.com/uploads.knightlab.com/storymapjs/287f42d1567af25a015ee1f0512bb59d/the-mystery-behind-the-donna-laura-minghetti-leonardo/index.html,,,
