text,p,start,end,type,description
Nellie Mackay,6,133,146,PERSON,"People, including fictional"
the Villa Frosino,6,150,167,FAC,"Buildings, airports, highways, bridges, etc."
San Domenico,6,169,181,GPE,"Countries, cities, states"
French,6,275,281,NORP,Nationalities or religious or political groups
"Sunday, October 12,1930",7,0,23,DATE,Absolute or relative dates or periods
Ugo Ojetti,8,0,10,PERSON,"People, including fictional"
Edith,8,35,40,PERSON,"People, including fictional"
Dedalo,8,71,77,PERSON,"People, including fictional"
Salaiuoli,9,12,21,GPE,"Countries, cities, states"
"Monday, October 13,1930",10,0,23,DATE,Absolute or relative dates or periods
Edith,11,0,5,PERSON,"People, including fictional"
Robert K.C.M.,11,19,32,PERSON,"People, including fictional"
S. Martino alle Palme,11,78,99,FAC,"Buildings, airports, highways, bridges, etc."
1930,1,0,4,DATE,Absolute or relative dates or periods
De Marinis,2,13,23,PERSON,"People, including fictional"
Benedetto Croce,2,36,51,PERSON,"People, including fictional"
Moravia,2,60,67,PERSON,"People, including fictional"
Croce,2,99,104,PERSON,"People, including fictional"
Greggs,2,174,180,PERSON,"People, including fictional"
Romania,2,347,354,GPE,"Countries, cities, states"
Antoine Bibesco,2,369,384,PERSON,"People, including fictional"
Asquith,2,424,431,PERSON,"People, including fictional"
"Tuesday, October 14,1930",4,0,24,DATE,Absolute or relative dates or periods
Friedländer,5,0,11,PERSON,"People, including fictional"
the Berlin Museum,5,15,32,ORG,"Companies, agencies, institutions, etc."
frau,6,24,28,PERSON,"People, including fictional"
Doktor P[erles,6,33,47,PERSON,"People, including fictional"
Rubens,6,121,127,PERSON,"People, including fictional"
German,6,133,139,NORP,Nationalities or religious or political groups
Flemish,6,311,318,NORP,Nationalities or religious or political groups
Germans,6,323,330,NORP,Nationalities or religious or political groups
Italians,6,339,347,NORP,Nationalities or religious or political groups
Kenneth Clark,6,349,362,PERSON,"People, including fictional"
Jane,6,367,371,PERSON,"People, including fictional"
1930,1,0,4,DATE,Absolute or relative dates or periods
"Wednesday, October 15,1930",2,0,26,DATE,Absolute or relative dates or periods
Archie Mackay,3,13,26,PERSON,"People, including fictional"
Mme de Saint Blancard,3,31,52,PERSON,"People, including fictional"
Alda,3,75,79,PERSON,"People, including fictional"
French,3,118,124,NORP,Nationalities or religious or political groups
today,3,181,186,DATE,Absolute or relative dates or periods
Nellie,3,205,211,PERSON,"People, including fictional"
Mme Serristori,3,297,311,PERSON,"People, including fictional"
Sophie Bossi-Pucci,3,316,334,PERSON,"People, including fictional"
3,3,372,373,CARDINAL,Numerals that do not fall under another type
one,3,384,387,CARDINAL,Numerals that do not fall under another type
Jane,4,2,6,PERSON,"People, including fictional"
"Thursday, October 16,1930",5,0,25,DATE,Absolute or relative dates or periods
Day in Bed,7,9,19,WORK_OF_ART,"Titles of books, songs, etc."
one,7,21,24,CARDINAL,Numerals that do not fall under another type
Freud,7,70,75,PERSON,"People, including fictional"
Civilization and some of its Discontents,7,90,130,WORK_OF_ART,"Titles of books, songs, etc."
Shutters of Snow,7,163,179,WORK_OF_ART,"Titles of books, songs, etc."
Edmund Houghton,7,210,225,PERSON,"People, including fictional"
India,7,277,282,GPE,"Countries, cities, states"
Pellegrina,7,288,298,WORK_OF_ART,"Titles of books, songs, etc."
"Friday, October 17,1930",8,0,23,DATE,Absolute or relative dates or periods
Day,9,0,3,DATE,Absolute or relative dates or periods
Percy Lubbock,9,26,39,PERSON,"People, including fictional"
1930,1,0,4,DATE,Absolute or relative dates or periods
"Saturday, October 18,1930",2,0,25,DATE,Absolute or relative dates or periods
BB,3,10,12,ORG,"Companies, agencies, institutions, etc."
Homeless Pictures,3,16,33,WORK_OF_ART,"Titles of books, songs, etc."
Hammer,3,61,67,PERSON,"People, including fictional"
Barbara,4,0,7,PERSON,"People, including fictional"
the Chapel of New College,4,41,66,FAC,"Buildings, airports, highways, bridges, etc."
4 years,4,135,142,DATE,Absolute or relative dates or periods
one second,4,249,259,TIME,Times smaller than a day
Naima,5,0,5,PERSON,"People, including fictional"
"Sunday, October 19,1930",6,0,23,DATE,Absolute or relative dates or periods
Carlo Placci,7,0,12,PERSON,"People, including fictional"
BB,7,132,134,PERSON,"People, including fictional"
Logan,7,226,231,PERSON,"People, including fictional"
Alda,7,517,521,PERSON,"People, including fictional"
Bertie,7,526,532,PERSON,"People, including fictional"
Jane Clark,7,547,557,PERSON,"People, including fictional"
the night,7,576,585,TIME,Times smaller than a day
1930,1,0,4,DATE,Absolute or relative dates or periods
"Monday, October 20,1930",2,0,23,DATE,Absolute or relative dates or periods
Logan,3,0,5,PERSON,"People, including fictional"
two,3,14,17,TIME,Times smaller than a day
"Tuesday – Monday, October 21-27,1930",4,0,36,DATE,Absolute or relative dates or periods
Siena,4,38,43,GPE,"Countries, cities, states"
a truly enchanting week,5,7,30,DATE,Absolute or relative dates or periods
Siena,5,34,39,GPE,"Countries, cities, states"
Alda,5,69,73,PERSON,"People, including fictional"
Florence,5,104,112,GPE,"Countries, cities, states"
Saturday,5,116,124,DATE,Absolute or relative dates or periods
San Geminiano,5,171,184,FAC,"Buildings, airports, highways, bridges, etc."
Peleo Bac[c]i,5,216,229,PERSON,"People, including fictional"
One,6,2,5,CARDINAL,Numerals that do not fall under another type
Castagneto del Bosco,6,22,42,GPE,"Countries, cities, states"
Biondis,6,63,70,PERSON,"People, including fictional"
Godfroy,6,92,99,PERSON,"People, including fictional"
Whitaker,6,148,156,PERSON,"People, including fictional"
Biondis,6,188,195,PERSON,"People, including fictional"
"Tuesday, October 28,1930",7,0,24,DATE,Absolute or relative dates or periods
Nelly Mackay,8,0,12,PERSON,"People, including fictional"
Vavalà,8,89,95,ORG,"Companies, agencies, institutions, etc."
the day,8,105,112,DATE,Absolute or relative dates or periods
Houghton,9,0,8,ORG,"Companies, agencies, institutions, etc."
Waterfields,9,17,28,PERSON,"People, including fictional"
Virginia (Francis) Peabody,9,53,79,PERSON,"People, including fictional"
Cambridge,9,85,94,GPE,"Countries, cities, states"
Fausto,9,142,148,PERSON,"People, including fictional"
1930,1,0,4,DATE,Absolute or relative dates or periods
"Thursday, October 30,1930",2,0,25,DATE,Absolute or relative dates or periods
Lina Waterfield,4,0,15,PERSON,"People, including fictional"
Carlo Placci,4,20,32,PERSON,"People, including fictional"
Friday-Saturday,6,0,15,DATE,Absolute or relative dates or periods
"October-November 31-1,1930",6,17,43,DATE,Absolute or relative dates or periods
BB,7,27,29,PERSON,"People, including fictional"
Friday,7,110,116,DATE,Absolute or relative dates or periods
afternoon,7,117,126,TIME,Times smaller than a day
Edmund Houghton,7,144,159,PERSON,"People, including fictional"
Vavalà,7,164,170,PERSON,"People, including fictional"
Naima,7,175,180,PERSON,"People, including fictional"
My Mortal Enemy,7,188,203,WORK_OF_ART,"Titles of books, songs, etc."
Willa Cather,7,209,221,PERSON,"People, including fictional"
evening,7,236,243,TIME,Times smaller than a day
"Sunday, November 2,1930",8,0,23,DATE,Absolute or relative dates or periods
Edmund,9,0,6,PERSON,"People, including fictional"
Mary Houghton,9,11,24,PERSON,"People, including fictional"
70,9,59,61,DATE,Absolute or relative dates or periods
Java,9,90,94,GPE,"Countries, cities, states"
Naima,9,136,141,PERSON,"People, including fictional"
BB,9,148,150,PERSON,"People, including fictional"
1930,1,0,4,DATE,Absolute or relative dates or periods
Consul,2,12,18,ORG,"Companies, agencies, institutions, etc."
Julia Marlowe) Sothern,2,43,65,PERSON,"People, including fictional"
Matteini,2,120,128,PERSON,"People, including fictional"
Cooksaw,2,134,141,PERSON,"People, including fictional"
Struisons,2,147,156,PERSON,"People, including fictional"
"Monday, November 3, 1930",3,0,24,DATE,Absolute or relative dates or periods
Nesta de Robeck,4,0,15,PERSON,"People, including fictional"
Origo,4,96,101,ORG,"Companies, agencies, institutions, etc."
Sybil,4,154,159,PERSON,"People, including fictional"
BB,4,165,167,ORG,"Companies, agencies, institutions, etc."
Struisons,4,215,224,PERSON,"People, including fictional"
"Tuesday, November 4,1930",5,0,24,DATE,Absolute or relative dates or periods
Ugo Ojetti,6,38,48,PERSON,"People, including fictional"
Sua Eccellenza,6,50,64,PERSON,"People, including fictional"
Academy,6,119,126,ORG,"Companies, agencies, institutions, etc."
San Rossore,6,156,167,FAC,"Buildings, airports, highways, bridges, etc."
Rosales,6,258,265,PERSON,"People, including fictional"
John Walker 8,6,311,324,PERSON,"People, including fictional"
American,6,409,417,NORP,Nationalities or religious or political groups
1930,1,0,4,DATE,Absolute or relative dates or periods
"Wednesday, November 5,1930",2,0,26,DATE,Absolute or relative dates or periods
Hermann,3,14,21,PERSON,"People, including fictional"
a Freulein Fülterer,3,84,103,PERSON,"People, including fictional"
Gagini,3,134,140,PERSON,"People, including fictional"
John Walker,3,149,160,PERSON,"People, including fictional"
Eugene Williams,3,177,192,PERSON,"People, including fictional"
BB,3,246,248,PERSON,"People, including fictional"
Lucy Donelly,3,262,274,PERSON,"People, including fictional"
Edith Frick,3,279,290,PERSON,"People, including fictional"
2 or 3 nights,3,319,332,DATE,Absolute or relative dates or periods
"Thursday, November 6,1930",4,0,25,DATE,Absolute or relative dates or periods
Lucy,5,0,4,PERSON,"People, including fictional"
Edith staying-,5,9,23,PERSON,"People, including fictional"
Vavalà,5,24,30,PERSON,"People, including fictional"
Walker,5,35,41,PERSON,"People, including fictional"
Waterfield,5,56,66,PERSON,"People, including fictional"
Cecil Pinsent,5,71,84,PERSON,"People, including fictional"
"Friday, November 7,1930",6,0,23,DATE,Absolute or relative dates or periods
Julia Marlowe) Sothern,7,13,35,PERSON,"People, including fictional"
"Saturday, November 8,1930",8,0,25,DATE,Absolute or relative dates or periods
Lucy,9,0,4,PERSON,"People, including fictional"
Edith Frick,9,9,20,PERSON,"People, including fictional"
Walker,9,27,33,PERSON,"People, including fictional"
Eugene Williams,9,49,64,PERSON,"People, including fictional"
Guadagni,9,95,103,PERSON,"People, including fictional"
Naima,9,110,115,PERSON,"People, including fictional"
"Sunday, November 9,193",10,0,22,DATE,Absolute or relative dates or periods
Naima,11,11,16,PERSON,"People, including fictional"
1930,1,0,4,DATE,Absolute or relative dates or periods
"Monday, November 10,1930",2,0,24,DATE,Absolute or relative dates or periods
Vavalà,3,0,6,PERSON,"People, including fictional"
Walker,3,11,17,PERSON,"People, including fictional"
Santa Brigida,3,55,68,GPE,"Countries, cities, states"
Daddi,4,36,41,PERSON,"People, including fictional"
Faust,4,56,61,PERSON,"People, including fictional"
3,4,63,64,CARDINAL,Numerals that do not fall under another type
11,4,82,84,DATE,Absolute or relative dates or periods
13,4,94,96,DATE,Absolute or relative dates or periods
One,4,108,111,CARDINAL,Numerals that do not fall under another type
Walker,4,131,137,PERSON,"People, including fictional"
"Tuesday, November 11,1930",5,0,25,DATE,Absolute or relative dates or periods
"Monday, December 7,1930",8,0,23,DATE,Absolute or relative dates or periods
Lützows,10,11,18,PERSON,"People, including fictional"
Kühn,10,38,42,PERSON,"People, including fictional"
Calderon,10,49,57,PERSON,"People, including fictional"
Percy Lubbock,10,62,75,PERSON,"People, including fictional"
Casa,10,77,81,PERSON,"People, including fictional"
Eustis,10,93,99,PERSON,"People, including fictional"
Blaw,10,114,118,PERSON,"People, including fictional"
Van Marle,10,120,129,PERSON,"People, including fictional"
Cecil Pinsent,10,131,144,PERSON,"People, including fictional"
3,10,146,147,CARDINAL,Numerals that do not fall under another type
Harrach,10,173,180,PERSON,"People, including fictional"
Diana Draper,10,182,194,PERSON,"People, including fictional"
Iris,10,196,200,PERSON,"People, including fictional"
twice,10,202,207,ORDINAL,"""first"", ""second"", etc."
Filippis,10,213,221,PERSON,"People, including fictional"
Harrison,10,228,236,PERSON,"People, including fictional"
Paget,10,275,280,PERSON,"People, including fictional"
Rosselli,10,282,290,PERSON,"People, including fictional"
Naischkine,10,306,316,PERSON,"People, including fictional"
Stiebel,10,327,334,PERSON,"People, including fictional"
Vavalà,10,335,341,PERSON,"People, including fictional"
Hammer,10,343,349,PERSON,"People, including fictional"
Kaufmann,10,354,362,PERSON,"People, including fictional"
Gondner,10,378,385,PERSON,"People, including fictional"
"Wednesday, November 26,1930",11,0,27,DATE,Absolute or relative dates or periods
Morra,12,0,5,PERSON,"People, including fictional"
Morrow,12,25,31,PERSON,"People, including fictional"
1930,1,0,4,DATE,Absolute or relative dates or periods
"Thursday, November 27,1930",2,0,26,DATE,Absolute or relative dates or periods
Pancrazi,3,0,8,PERSON,"People, including fictional"
Dursts,3,19,25,PERSON,"People, including fictional"
Anreps,3,27,33,PERSON,"People, including fictional"
Walker,3,35,41,PERSON,"People, including fictional"
Matilde,3,43,50,PERSON,"People, including fictional"
Loeser,3,51,57,PERSON,"People, including fictional"
"Saturday, November 29,1930",4,0,26,DATE,Absolute or relative dates or periods
The Doro Levis,5,0,14,ORG,"Companies, agencies, institutions, etc."
"Sunday, November 30,1930",6,0,24,DATE,Absolute or relative dates or periods
Ursula Garvin,7,5,18,PERSON,"People, including fictional"
"Monday, December 1,1930",8,0,23,DATE,Absolute or relative dates or periods
Lina Waterfield,9,0,15,ORG,"Companies, agencies, institutions, etc."
6 days,9,25,31,DATE,Absolute or relative dates or periods
Medici Vermouth,9,70,85,ORG,"Companies, agencies, institutions, etc."
"Tuesday, December 2,1930",10,0,24,DATE,Absolute or relative dates or periods
de Robeck,11,5,14,PERSON,"People, including fictional"
Flora Priestley,11,28,43,PERSON,"People, including fictional"
Toëplitz,11,89,97,PERSON,"People, including fictional"
Fried,11,115,120,PERSON,"People, including fictional"
Wednesday 3,13,0,11,DATE,Absolute or relative dates or periods
Giuliana Benzoni,14,1,17,PERSON,"People, including fictional"
"Thursday, December 4,1930",15,0,25,DATE,Absolute or relative dates or periods
Loria,16,0,5,PERSON,"People, including fictional"
BB,16,26,28,PERSON,"People, including fictional"
Nicky,16,30,35,PERSON,"People, including fictional"
Morra,16,40,45,PERSON,"People, including fictional"
Fausts,16,57,63,PRODUCT,"Objects, vehicles, foods, etc. (not services)"
"Friday, December 5,1930",17,0,23,DATE,Absolute or relative dates or periods
Pellegrina Paulucci,18,0,19,PERSON,"People, including fictional"
"Saturday, December 6,1930",19,0,25,DATE,Absolute or relative dates or periods
Walker,20,0,6,PERSON,"People, including fictional"
Pittsburg,20,16,25,GPE,"Countries, cities, states"
Hazards,20,27,34,GPE,"Countries, cities, states"
Coper,20,36,41,GPE,"Countries, cities, states"
Pinsent,20,47,54,GPE,"Countries, cities, states"
"Sunday, December 7,1930",21,0,23,DATE,Absolute or relative dates or periods
Iris Origo,22,0,10,PERSON,"People, including fictional"
Wiskermann,22,26,36,PERSON,"People, including fictional"
May,22,77,80,PERSON,"People, including fictional"
Maria Papafava,22,113,127,PERSON,"People, including fictional"
Roman,22,169,174,NORP,Nationalities or religious or political groups
3,22,211,212,CARDINAL,Numerals that do not fall under another type
one,22,226,229,CARDINAL,Numerals that do not fall under another type
one,22,247,250,CARDINAL,Numerals that do not fall under another type
one,22,263,266,CARDINAL,Numerals that do not fall under another type
1930,1,0,4,DATE,Absolute or relative dates or periods
"Tuesday, December 9,1930",2,0,24,DATE,Absolute or relative dates or periods
Morra,3,39,44,PERSON,"People, including fictional"
"Wednesday, December 10,1930",4,0,27,DATE,Absolute or relative dates or periods
Pancrazi,5,0,8,PERSON,"People, including fictional"
the day,6,0,7,DATE,Absolute or relative dates or periods
Hart,6,24,28,PERSON,"People, including fictional"
Berkeley College,6,34,50,ORG,"Companies, agencies, institutions, etc."
Ojetti,7,13,19,PERSON,"People, including fictional"
Wiskermann,7,41,51,PERSON,"People, including fictional"
"Thursday, December 11,1930",8,0,26,DATE,Absolute or relative dates or periods
Brown,9,6,11,PERSON,"People, including fictional"
John,9,13,17,PERSON,"People, including fictional"
Zurich,9,24,30,GPE,"Countries, cities, states"
7,9,59,60,TIME,Times smaller than a day
first,9,71,76,ORDINAL,"""first"", ""second"", etc."
BB,9,80,82,PERSON,"People, including fictional"
"Friday, December 12,1930",10,0,24,DATE,Absolute or relative dates or periods
BB,11,34,36,PERSON,"People, including fictional"
One,11,114,117,CARDINAL,Numerals that do not fall under another type
Spencer,11,129,136,PERSON,"People, including fictional"
Cambridge,11,142,151,GPE,"Countries, cities, states"
Mass.,11,152,157,GPE,"Countries, cities, states"
France von Millizen,2,24,43,PERSON,"People, including fictional"
Earle,2,107,112,PERSON,"People, including fictional"
one,2,114,117,CARDINAL,Numerals that do not fall under another type
Berenson,2,204,212,PERSON,"People, including fictional"
Percy Lubbock,3,0,13,PERSON,"People, including fictional"
Friday [sic] [Saturday],4,0,23,DATE,Absolute or relative dates or periods
Nicky,5,0,5,PERSON,"People, including fictional"
43rd,5,8,12,ORDINAL,"""first"", ""second"", etc."
Cora,5,23,27,PERSON,"People, including fictional"
Maresciallo,5,47,58,PERSON,"People, including fictional"
Fiesole,5,62,69,ORG,"Companies, agencies, institutions, etc."
Alys,5,88,92,PERSON,"People, including fictional"
Naima,5,147,152,PERSON,"People, including fictional"
the night,5,162,171,TIME,Times smaller than a day
Stockholm,5,188,197,GPE,"Countries, cities, states"
tomorrow,5,198,206,DATE,Absolute or relative dates or periods
Lina,5,212,216,PERSON,"People, including fictional"
Aulla,5,243,248,PERSON,"People, including fictional"
"Sunday, December 14,1930",6,0,24,DATE,Absolute or relative dates or periods
Naima,7,0,5,PERSON,"People, including fictional"
Anreps,7,16,22,PERSON,"People, including fictional"
Cecil Pinsent,7,27,40,PERSON,"People, including fictional"
"Monday, December 15,1930",2,0,24,DATE,Absolute or relative dates or periods
Vavalà,3,0,6,PERSON,"People, including fictional"
2 nights,3,23,31,DATE,Absolute or relative dates or periods
Wiskermann,3,90,100,PERSON,"People, including fictional"
Lina,4,8,12,PERSON,"People, including fictional"
Morra,4,17,22,PERSON,"People, including fictional"
BB,4,42,44,PERSON,"People, including fictional"
Nicky,4,49,54,PERSON,"People, including fictional"
Hyères,4,64,70,GPE,"Countries, cities, states"
"Tuesday, December 16,1930",5,0,25,DATE,Absolute or relative dates or periods
Clark,6,25,30,PERSON,"People, including fictional"
Poggio Gherardo,6,34,49,FAC,"Buildings, airports, highways, bridges, etc."
Lina,6,75,79,PERSON,"People, including fictional"
the day,6,86,93,DATE,Absolute or relative dates or periods
Lina,6,102,106,PERSON,"People, including fictional"
7,6,127,128,CARDINAL,Numerals that do not fall under another type
the evening,6,149,160,TIME,Times smaller than a day
Barbara,6,187,194,PERSON,"People, including fictional"
midnight,6,206,214,TIME,Times smaller than a day
a week,6,234,240,DATE,Absolute or relative dates or periods
London,6,261,267,GPE,"Countries, cities, states"
1930,1,0,4,DATE,Absolute or relative dates or periods
"Tuesday, January 20,1931",2,0,24,DATE,Absolute or relative dates or periods
BB,3,5,7,PERSON,"People, including fictional"
our days,3,42,50,DATE,Absolute or relative dates or periods
fromAlys,3,80,88,PERSON,"People, including fictional"
Karin,3,95,100,PERSON,"People, including fictional"
Christopher,3,124,135,PERSON,"People, including fictional"
Barbara,3,140,147,PERSON,"People, including fictional"
Ray,4,1,4,PERSON,"People, including fictional"
Fawcett,4,74,81,PERSON,"People, including fictional"
2,5,20,21,CARDINAL,Numerals that do not fall under another type
Barbara,5,43,50,PERSON,"People, including fictional"
Aulla,5,65,70,GPE,"Countries, cities, states"
Lerici,5,75,81,GPE,"Countries, cities, states"
3 days,5,86,92,DATE,Absolute or relative dates or periods
Alys,5,94,98,PERSON,"People, including fictional"
Olivier,5,103,110,PERSON,"People, including fictional"
Ann,5,115,118,PERSON,"People, including fictional"
Aulla,5,122,127,GPE,"Countries, cities, states"
a night,5,132,139,TIME,Times smaller than a day
4,5,145,146,CARDINAL,Numerals that do not fall under another type
Waterfields,5,147,158,PERSON,"People, including fictional"
